season,holiday,workingday,weather,temp,humidity,windspeed,count,hour,weekday
1,0,1,1,10.66,56,26.0027,20.0,00,3
1,0,1,1,10.66,56,11.0014,5.0,03,3
1,0,1,1,10.66,56,11.0014,5.0,04,3
1,0,1,1,9.84,60,15.0013,18.0,05,3
1,0,1,1,9.02,60,15.0013,65.0,06,3
1,0,1,1,9.02,55,15.0013,227.0,07,3
1,0,1,1,9.02,55,19.0012,258.0,08,3
1,0,1,2,9.84,52,15.0013,239.0,09,3
1,0,1,1,10.66,48,19.9995,119.0,10,3
1,0,1,2,11.48,45,11.0014,119.0,11,3
1,0,1,2,11.48,45,7.0015,217.0,13,3
1,0,1,2,12.3,45,8.9981,192.0,14,3
1,0,1,2,13.12,45,12.998,92.0,15,3
1,0,1,2,12.3,49,8.9981,87.0,16,3
1,0,1,2,12.3,49,7.0015,224.0,17,3
1,0,1,2,10.66,56,12.998,176.0,18,3
1,0,1,1,10.66,56,22.0028,119.0,19,3
1,0,1,2,10.66,60,19.0012,88.0,20,3
1,0,1,2,9.84,60,16.9979,166.0,21,3
1,0,1,2,9.84,65,19.0012,108.0,22,3
1,0,1,2,9.84,65,22.0028,61.0,23,3
1,0,1,2,9.84,70,16.9979,35.0,00,4
1,0,1,2,9.84,70,16.9979,8.0,01,4
1,0,1,3,9.84,75,11.0014,2.0,02,4
1,0,1,3,9.02,80,19.9995,2.0,03,4
1,0,1,2,9.02,87,6.0032,6.0,04,4
1,0,1,1,9.84,60,27.9993,18.0,05,4
1,0,1,1,9.02,55,16.9979,77.0,06,4
1,0,1,1,8.2,51,19.0012,227.0,07,4
1,0,1,1,8.2,47,22.0028,179.0,08,4
1,0,1,1,8.2,51,23.9994,215.0,09,4
1,0,1,1,8.2,47,31.0009,61.0,10,4
1,0,1,1,9.02,41,31.0009,51.0,11,4
1,0,1,1,9.02,27,39.0007,73.0,12,4
1,0,1,1,8.2,21,39.0007,52.0,13,4
1,0,1,1,8.2,25,35.0008,48.0,14,4
1,0,1,1,6.56,26,30.0026,91.0,15,4
1,0,1,1,6.56,26,23.9994,137.0,16,4
1,0,1,1,5.74,28,23.9994,356.0,17,4
1,0,1,1,4.92,30,16.9979,166.0,18,4
1,0,1,1,4.92,30,22.0028,157.0,19,4
1,0,1,1,4.1,33,27.9993,116.0,20,4
1,0,1,1,3.28,38,19.0012,73.0,21,4
1,0,1,1,2.46,41,26.0027,52.0,22,4
1,0,1,1,2.46,38,22.0028,23.0,23,4
1,0,0,1,1.64,45,16.9979,26.0,00,5
1,0,0,2,1.64,41,26.0027,26.0,01,5
1,0,0,2,1.64,41,16.9979,12.0,02,5
1,0,0,2,1.64,41,19.0012,10.0,03,5
1,0,0,2,0.82,48,19.9995,2.0,04,5
1,0,0,2,0.82,44,15.0013,6.0,06,5
1,0,0,1,0.82,44,19.0012,34.0,07,5
1,0,0,1,0.82,44,22.0028,112.0,08,5
1,0,0,1,1.64,41,16.9979,20.0,09,5
1,0,0,2,1.64,41,11.0014,127.0,10,5
1,0,0,2,2.46,38,8.9981,127.0,11,5
1,0,0,2,2.46,38,7.0015,127.0,12,5
1,0,0,1,4.1,33,7.0015,60.0,14,5
1,0,0,1,4.92,28,12.998,121.0,16,5
1,0,0,1,3.28,35,12.998,121.0,18,5
1,0,0,1,3.28,35,8.9981,31.0,19,5
1,0,0,1,2.46,45,11.0014,39.0,20,5
1,0,0,1,2.46,41,6.0032,52.0,21,5
