Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро
"вул. Ревуцького, 40В",1 кімната,22 м²,8 000 грн,"Дарницький,",Харківська
"вул. Драгомирова, 11",4 кімнати,145 м²,89 888 грн,"Печерський,",Дружби народів
"вул. Митрополита Василя Липківського, 16Г",2 кімнати,72 м²,40 000 грн,"Солом'янський,",Вокзальна
"вул. Антоновича, 44",3 кімнати,101 м²,93 633 грн,"Голосіївський,",Олімпійська
вул. Бульварно-Кудрявська,1 кімната,43 м²,28 000 грн,"Шевченківський,",Золоті ворота
"бул. Вацлава Гавела, 6",1 кімната,25 м²,12 000 грн,"Солом'янський,",Берестейська
вул. Софії Русової,1 кімната,20 м²,8 000 грн,"Дарницький,",Осокорки
"вул. Ковпака, 17",3 кімнати,180 м²,22 472 грн,"Печерський,",Либідська
"вул. Драгомирова, 15Б",2 кімнати,55 м²,44 944 грн,"Печерський,",
"вул. Драгомирова, 9",5 кімнат,200 м²,74 906 грн,"Печерський,",
"вул. Мала Житомирська, 10",2 кімнати,60 м²,26 217 грн,"Шевченківський,",Майдан Незалежності
"вул. Драгомирова, 20",2 кімнати,50 м²,22 472 грн,"Печерський,",
"вул. Драгомирова, 17",2 кімнати,60 м²,33 708 грн,"Печерський,",
"вул. Велика Васильківська, 27",4 кімнати,165 м²,44 944 грн,"Голосіївський,",Площа Льва Толстого
"вул. Драгомирова, 9",2 кімнати,60 м²,26 217 грн,"Печерський,",
"вул. Драгомирова, 17",1 кімната,55 м²,29 963 грн,"Печерський,",
"вул. Професора Підвисоцького, 4В",2 кімнати,50 м²,26 217 грн,"Печерський,",
"вул. Драгомирова, 14",3 кімнати,150 м²,71 161 грн,"Печерський,",
"вул. Драгомирова, 9",2 кімнати,68 м²,33 708 грн,"Печерський,",
вул. Драгомирова,3 кімнати,140 м²,101 124 грн,"Печерський,",Дружби народів
вул. Драгомирова,3 кімнати,140 м²,101 124 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 14",4 кімнати,160 м²,67 416 грн,"Печерський,",
"вул. Драгомирова, 15А",3 кімнати,90 м²,82 397 грн,"Печерський,",
"вул. Драгомирова, 20",4 кімнати,150 м²,50 000 грн,"Печерський,",Дружби народів
"вул. Драгомирова, 11",3 кімнати,115 м²,74 906 грн,"Печерський,",Дружби народів
"вул. Юрія Шумського, 1Б",2 кімнати,84 м²,15 000 грн,"Дніпровський,",Лівобережна
"просп. Оболонський, 14Д",1 кімната,36 м²,7 999 грн,"Оболонський,",Мінська
"вул. Левка Лук'яненка, 29",2 кімнати,80 м²,15 000 грн,"Оболонський,",Мінська
"вул. Василя Тютюнника, 5В",4 кімнати,159 м²,37 453 грн,"Печерський,","Палац ""Україна"""
вул. Інститутська,2 кімнати,65 м²,14 981 грн,"Печерський,",Хрещатик
вул. Тарасівська,6 кімнат,220 м²,41 198 грн,"Голосіївський,",
"вул. Осокорська, 2А",3 кімнати,83 м²,37 453 грн,"Дарницький,",Славутич
"вул. Дмитрівська, 69",3 кімнати,130 м²,23 000 грн,"Шевченківський,",Лук'янівська
"вул. Драгоманова, 14А",2 кімнати,70 м²,10 000 грн,"Дарницький,",Позняки
"вул. Михайла Котельникова, 37",2 кімнати,62 м²,12 499 грн,"Святошинський,",Житомирська
вулиця Андрія Аболмасова,1 кімната,43 м²,14 999 грн,"Дніпровський,",Лівобережна
"вулиця Родини Кістяківських, 7",1 кімната,40 м²,18 000 грн,"Голосіївський,",Теремки
"вул. Ковпака, 17",3 кімнати,160 м²,20 599 грн,"Печерський,",Либідська
"вул. Саксаганського, 63/28",3 кімнати,129 м²,45 000 грн,"Печерський,",
"Дружби вулиця, 1",1 кімната,39 м²,8 000 грн,"Святошинський,",Іподром
"вул. Тургенєвська, 64/68",2 кімнати,60 м²,20 000 грн,"Шевченківський,",Лук'янівська
"вул. Старонаводницька, 4В",3 кімнати,137 м²,37 453 грн,"Печерський,",Печерська
"бул. Русанівський, 6",3 кімнати,63 м²,9 500 грн,"Дніпровський,",Дніпро
"просп. Володимира Івасюка, 12Е",3 кімнати,120 м²,20 000 грн,"Оболонський,",Оболонь
"вул. Саперне Поле, 3",3 кімнати,99 м²,93 633 грн,"Печерський,",
"вул. Саперне Поле, 3",3 кімнати,92 м²,78 652 грн,"Печерський,",
"наб. Дніпровська, 13",1 кімната,45 м²,8 500 грн,"Дніпровський,",Лівобережна
"вул. Ахматової Анни, 13Б",3 кімнати,80 м²,13 000 грн,"Дарницький,",Позняки
"вул. Миропільська, 23/16",2 кімнати,65 м²,8 000 грн,"Дніпровський,",Чернігівська
"вул. Бориспільська, 23А",2 кімнати,68 м²,8 500 грн,"Дарницький,",Червоний хутір
"вул. Молдавська, 2",3 кімнати,160 м²,30 000 грн,"Солом'янський,",Шулявська
вул. Митрополита Василя Липківського,2 кімнати,51 м²,30 000 грн,"Солом'янський,",
"просп. Лобановського, 6-Д",1 кімната,56 м²,12 000 грн,"Солом'янський,",Деміївська
"вул. Пулюя, 1А",3 кімнати,90 м²,17 000 грн,"Солом'янський,",Вокзальна
"пров. Ясинуватський, 10",2 кімнати,80 м²,18 727 грн,"Голосіївський,",Деміївська
"вул. Академіка Вільямса, 3/7",1 кімната,50 м²,12 500 грн,"Голосіївський,",Іподром
"просп. Володимира Івасюка, 4",1 кімната,58 м²,14 000 грн,"Оболонський,",Оболонь
"просп. Петра Григоренка, 15",3 кімнати,85 м²,11 000 грн,"Дарницький,",Позняки
"просп. Бажана Миколи, 36",3 кімнати,102 м²,15 000 грн,"Дарницький,",Харківська
"вул. Січових Стрільців, 30А",2 кімнати,53 м²,16 000 грн,"Шевченківський,",Золоті ворота
"вул. Пулюя, 5А",3 кімнати,79 м²,16 000 грн,"Солом'янський,",Вокзальна
"вул. Урлівська, 38",3 кімнати,100 м²,12 000 грн,"Дарницький,",Позняки
вул. Раїси Окіпної,2 кімнати,98 м²,56 180 грн,"Дніпровський,",
"вул. Григорія Андрющенка, 4Б",1 кімната,34 м²,10 000 грн,"Солом'янський,",Лук'янівська
"вул. Микільсько-Ботанічна, 7/9",2 кімнати,52 м²,29 963 грн,"Голосіївський,",Університет
"вул. Саперне Поле, 3",3 кімнати,99 м²,93 633 грн,"Печерський,",
"вул. Саперне Поле, 3",3 кімнати,92 м²,78 652 грн,"Печерський,",
"вул. Саперне Поле, 3",3 кімнати,94 м²,71 161 грн,"Печерський,",
"просп. Берестейський(Перемоги), 146/2",3 кімнати,68 м²,12 500 грн,"Святошинський,",Житомирська
"просп. Лобановського, 146Б",2 кімнати,51 м²,25 000 грн,"Голосіївський,",
вул. Йорданська,2 кімнати,56 м²,9 500 грн,"Оболонський,",Оболонь
"пров. Приладний, 10",2 кімнати,60 м²,11 000 грн,"Святошинський,",Академмістечко
"вул. Ковпака, 17",3 кімнати,103 м²,18 727 грн,"Печерський,",Либідська
"просп. Володимира Івасюка, 12Ж",3 кімнати,122 м²,27 000 грн,"Оболонський,",Оболонь
"вул. Драгомирова, 9",2 кімнати,68 м²,41 198 грн,"Печерський,",
"вул. Драгомирова, 17",3 кімнати,90 м²,59 925 грн,"Печерський,",
