Адреса,Кількість кімнат,Площа,Ціна,Район,Станція метро,Координати адрес
"вул. Ревуцького, 40В",1 кімната,22 м²,8 000 грн,"Дарницький,",Харківська,"{'lat': 50.4038131, 'lng': 30.6485654}"
"вул. Драгомирова, 11",4 кімнати,145 м²,89 888 грн,"Печерський,",Дружби народів,"{'lat': 50.409347, 'lng': 30.5458778}"
"вул. Митрополита Василя Липківського, 16Г",2 кімнати,72 м²,40 000 грн,"Солом'янський,",Вокзальна,"{'lat': 50.4358718, 'lng': 30.4877917}"
"вул. Антоновича, 44",3 кімнати,101 м²,93 633 грн,"Голосіївський,",Олімпійська,"{'lat': 50.4336785, 'lng': 30.5131808}"
вул. Бульварно-Кудрявська,1 кімната,43 м²,28 000 грн,"Шевченківський,",Золоті ворота,"{'lat': 50.4513764, 'lng': 30.4987808}"
"бул. Вацлава Гавела, 6",1 кімната,25 м²,12 000 грн,"Солом'янський,",Берестейська,"{'lat': 50.4474224, 'lng': 30.4213211}"
вул. Софії Русової,1 кімната,20 м²,8 000 грн,"Дарницький,",Осокорки,"{'lat': 50.3872266, 'lng': 30.6258345}"
"вул. Ковпака, 17",3 кімнати,180 м²,22 472 грн,"Печерський,",Либідська,"{'lat': 50.4172232, 'lng': 30.5247632}"
"вул. Драгомирова, 15Б",2 кімнати,55 м²,44 944 грн,"Печерський,",,"{'lat': 50.4081006, 'lng': 30.5449295}"
"вул. Драгомирова, 9",5 кімнат,200 м²,74 906 грн,"Печерський,",,"{'lat': 50.4101218, 'lng': 30.5465873}"
"вул. Мала Житомирська, 10",2 кімнати,60 м²,26 217 грн,"Шевченківський,",Майдан Незалежності,"{'lat': 50.45243199999999, 'lng': 30.521287}"
"вул. Драгомирова, 20",2 кімнати,50 м²,22 472 грн,"Печерський,",,"{'lat': 50.4092905, 'lng': 30.5438982}"
"вул. Драгомирова, 17",2 кімнати,60 м²,33 708 грн,"Печерський,",,"{'lat': 50.4084383, 'lng': 30.5438358}"
